sucursal_id,action,timestamp_lvt,details
0,Procesada 'tarea b' (Interna),4691,Duración: 1
0,Recibida 'tarea a',4691,Evento T_E=4771
0,Checkpoint Creado,4691,
0,Procesada 'tarea a',4771,
0,Procesada 'tarea b' (Interna),4776,Duración: 5
0,Recibida 'tarea a',4776,Evento T_E=4802
0,Checkpoint Creado,4776,
0,Procesada 'tarea a',4802,
0,Procesada 'tarea b' (Interna),4803,Duración: 1
0,Recibida 'tarea a',4803,Evento T_E=4842
0,Checkpoint Creado,4803,
0,Procesada 'tarea a',4842,
0,Procesada 'tarea b' (Interna),4843,Duración: 1
0,Recibida 'tarea a',4843,Evento T_E=4843
0,Checkpoint Creado,4843,
0,Procesada 'tarea a',4843,
0,Procesada 'tarea b' (Interna),4844,Duración: 1
0,Recibida 'tarea a',4844,Evento T_E=4851
0,Checkpoint Creado,4844,
0,Procesada 'tarea a',4851,
0,Procesada 'tarea b' (Interna),4854,Duración: 3
0,Recibida 'tarea a',4854,Evento T_E=4939
0,Checkpoint Creado,4854,
0,Procesada 'tarea a',4939,
0,Procesada 'tarea b' (Interna),4941,Duración: 2
0,Recibida 'tarea a',4941,Evento T_E=4973
0,Checkpoint Creado,4941,
0,Procesada 'tarea a',4973,
0,Procesada 'tarea b' (Interna),4977,Duración: 4
0,Recibida 'tarea a',4977,Evento T_E=4991
0,Checkpoint Creado,4977,
0,Procesada 'tarea a',4991,
0,Procesada 'tarea b' (Interna),4995,Duración: 4
0,Recibida 'tarea a',4995,Evento T_E=5071
0,Checkpoint Creado,4995,
0,Procesada 'tarea a',5071,
0,Procesada 'tarea b' (Interna),5072,Duración: 1
0,Recibida 'tarea a',5072,Evento T_E=5088
0,Checkpoint Creado,5072,
0,Procesada 'tarea a',5088,
0,Procesada 'tarea b' (Interna),5090,Duración: 2
0,Recibida 'tarea a',5090,Evento T_E=5089
0,Rollback Iniciado,5090,T_E=5089 < LVT=5090
0,Rollback: Checkpoint Restaurado,5072,Restaurado a T=5072
0,Rollback: Checkpoint Creado,5072,
0,Rollback: Reprocesada 'tarea a',5088,
0,Rollback: Reprocesada 'tarea b',5090,Duración: 2
0,Rollback: Checkpoint Creado,5090,
0,Rollback: Reprocesada 'tarea a',5090,
0,Rollback: Reprocesada 'tarea b',5092,Duración: 2
0,Rollback Terminado,5092,
0,Recibida 'tarea a',5092,Evento T_E=5163
0,Checkpoint Creado,5092,
0,Procesada 'tarea a',5163,
0,Procesada 'tarea b' (Interna),5166,Duración: 3
0,Recibida 'tarea a',5166,Evento T_E=5209
0,Checkpoint Creado,5166,
0,Procesada 'tarea a',5209,
0,Procesada 'tarea b' (Interna),5211,Duración: 2
0,Recibida 'tarea a',5211,Evento T_E=5229
0,Checkpoint Creado,5211,
0,Procesada 'tarea a',5229,
0,Procesada 'tarea b' (Interna),5233,Duración: 4
0,Recibida 'tarea a',5233,Evento T_E=5373
0,Checkpoint Creado,5233,
0,Procesada 'tarea a',5373,
0,Procesada 'tarea b' (Interna),5375,Duración: 2
